product_id,offer_id,merchant_title,fresh_required_attrs,suggested_attributes,evidence,decision_state,selected_for_apply,has_price_required_attr,decision_reasons
online:pt:BR:NUD-2000478-S,NUD-2000478-S,Camiseta Baby Look Nude Project Juicy Cherry Branca,color,"{""color"": ""Branco""}","{""color"": ""title_color_token_aggressive""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:MR530TA-5,MR530TA-5,Tênis New Balance 530 Silver Cream Prateado,color,"{""color"": ""Prata / Creme""}","{""color"": ""title_color_token_aggressive""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:1183A201-126-2,1183A201-126-2,Tênis Onitsuka Tiger Mexico 66 White Black Branco,color,"{""color"": ""Branco / Preto""}","{""color"": ""title_color_token_aggressive""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:1025116-1A17741_2NM5J-2,1025116-1A17741_2NM5J-2,Tênis Onitsuka Tiger x Versace TAI-CHI Sakura Suede Têniss Brown Bege,color,"{""color"": ""Marrom / Bege""}","{""color"": ""title_color_token_aggressive""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:DA6672-200-37,DA6672-200-37,Tenis Nike Craft General Purpose Shoe Tom Sachs,color,"{""color"": ""Multicolor""}","{""color"": ""default_color_multicolor_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:JQ9229-8,JQ9229-8,Tênis Adidas Ballerina Bad Bunny Off White Black Gum Branco,color,"{""color"": ""Off White / Branco / Preto""}","{""color"": ""title_color_token_aggressive""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:14252480804615463970,14252480804615463970,41,size,"{""sizes"": [""41""]}","{""sizes"": ""offer_or_title_numeric_size_token""}",ready_for_wave4_aggressive_nonprice_apply,True,False,size filled from title/offer/one-size token
online:pt:BR:9780847872657,9780847872657,Livro Rizzoli From Soul to Sole: The Adidas Sneakers of Jacques Chassaing,color; size,"{""color"": ""Multicolor""}","{""color"": ""default_color_multicolor_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:4041641007094962608,4041641007094962608,Camisa Saint Studio Trico Palha | LK Sneakers,age group; color; gender; price; size,"{""color"": ""Bege"", ""ageGroup"": ""adult"", ""gender"": ""unisex""}","{""color"": ""title_color_token_aggressive"", ""ageGroup"": ""default_adult_lucas_completeness_policy"", ""gender"": ""default_unisex_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,True,color filled from title token or Multicolor fallback; ageGroup default adult; gender default unisex; price remains excluded
online:pt:BR:DA6672-700-40,DA6672-700-40,Tenis Nike Craft General Purpose Shoe Tom Sachs Archive Dark Sulfur,color,"{""color"": ""Multicolor""}","{""color"": ""default_color_multicolor_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
online:pt:BR:HF8022300-4,HF8022300-4,Yuto Horigome x Dunk Low SB Matcha,color,"{""color"": ""Multicolor""}","{""color"": ""default_color_multicolor_lucas_completeness_policy""}",ready_for_wave4_aggressive_nonprice_apply,True,False,color filled from title token or Multicolor fallback
